OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
1796,6333,Nesbit River mouth, , , ,district or area, ,Australia,Queensland,-13.5421,143.5854,At Nesbit River mouth.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Showing, ,monazite,"ilmenite, zircon, rutile",quartz,,,,,,,,,,,Queensland Department of Natural Resources and Mines (2014a),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1797,6334,Newcastle, , , ,district or area, ,Australia,New South Wales,-32.917,151.75,Estimated location.,shoreline placer, , ,REE, , , , ,Occurrence, ,monazite,,,,,,,,,,,RZ Mines Pty. Ltd.,,Hedrick (1999); Roskill Information Services (1988),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1798,6335,Newrybar, , , ,district or area, ,Australia,New South Wales,-28.767,153.567, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,"ilmenite, rutile, zircon, garnet","tourmaline, quartz",Quaternary,,,,dune and beach sand,,,,,,Jackson and Christiansen (1993),,,,No production,,,,,22,,,,,,1.1,,,,0.0418,,1990,Jackson and Christiansen (1993),Not compliant,,Oceania
1799,6556,Ngahere,Ngahere Dredge, , ,site(?),historic Au mine,New Zealand,West Coast,-42.3635,171.4278, ,alluvial placer, , ,"Au, REE", , , , ,Showing, ,monazite,gold,,,,,,alluvium,,,,,It is estimated that 0.75 t/week of monazite was discarded by the Ngahere gold dredge.,Christie and others (2014); GNS Science (2013); Overstreet (1967),,,dredge,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1800,6336,Nightcrawler, , ,Browns Range,site,outcrop,Australia,Western Australia,-18.8927,128.9296, ,other igneous deposit(?), , ,REE, , , , ,Occurrence, ,,,,,,,,,,,,Northern Minerals Ltd.,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1801,6337,Nine Mile Beach, , , ,district or area, ,Australia,Tasmania,-39.8072,144.1526,Offshore of King Island; location is central to the area of exploration offshore of Nine Mile Beach.,shoreline placer, , ,"Ti, Zr, Sn, Au, REE, PGE", , , , ,Occurrence, ,,"ilmenite, rutile, zircon, cassiterite, native gold",,,,,,,,,,Mineral Holdings Australia Party Ltd. (2001),,Duncan and Rhodes (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1802,6557,Nine Mile Beach- North, , , ,site, ,New Zealand,West Coast,-41.7985,171.4587, ,shoreline placer, , ,"Ti, Zr, REE, Au", , , , ,Occurrence, ,monazite,"ilmenite, zircon, gold",,Holocene,,Holocene,,,,,,,,Christie and others (2010); GNS Science (2013); ESCAP and ABMRGG (1988),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1803,6558,Nine Mile Beach- South, , , ,site, ,New Zealand,West Coast,-41.8822,171.4566, ,shoreline placer, , ,"Ti, REE, Zr, Au", , , , ,Occurrence, ,monazite,"ilmenite, zircon, gold",,Holocene,,Holocene,,,,,,,,Christie and others (2010); GNS Science (2013); ESCAP and ABMRGG (1988),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1804,6338,Nolans Bore, , , ,site(?), ,Australia,Northern Territory,-22.5791,133.2389,"130 km north of Alica Springs, 8 km west of Stuart Highway in the Reynolds Ranges.",other igneous deposit; supergene,"apatite and/or fluorite veins, hydrothermal",vein,"REE, P, U", , , , ,Deposit, ,"fluorapatite, cheralite, allanite",,carbonate,Proterozoic,,,,carbonatite,,,,Arafura Resources NL (2012),"In places REE grades exceeds 10%. In 2005, highest grades were 5.6% REO and 1.1 lb/t U3O8.",Arafura Resources Ltd. (2012); Industrial Minerals (2003); Industrial Minerals (2005b); Industrial Minerals (2006a); Industrial Minerals (2006b); Jaireth and others (2014); O'Driscoll (2003); Walters and Lusty (2011); Watts (2012a); Watts (2012d),,,,No production,,,,,47,1.222,2.6,,,,,,,,,,,Arafura Resources Ltd. (2012),JORC compliant,,Oceania
1805,6339,North Dandalup, , ,Keysbrook project,district or area(?), ,Australia,Western Australia,-32.5833,115.9489, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,"monazite, xenotime","ilmenite, rutile, zircon, (leucoxene)",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1806,6340,North Dandalup South,North Dandalup S, , ,district or area(?), ,Australia,Western Australia,-32.5679,115.9693, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, (leucoxene)",,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1807,6341,North Entrance, , , ,district or area, ,Australia,New South Wales,-33.3206,151.5185, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence(?), ,,"ilmenite, rutile, zircon",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,Not known,,,,,,,,,,,,,,,,,,,,,Oceania
1808,6343,North Stradbroke, , , ,site,HM mine,Australia,Queensland,-27.4768,153.4435, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Deposit, ,,"zircon, rutile, ilmenite",quartz,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,Not known,Uncertain if monazite produced.,,,,,,,,,,,,,,,,,,,,Oceania
1809,6344,North Stradbroke, ,"includes Amity, Bayside, Gordon, others", ,district or area,island,Australia,Queensland,-27.5922,153.4518, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Deposit, ,monazite,"zircon, rutile, ilmenite",quartz,Pliocene–Pleistocene,,,,beach and dune sand,,,,Unimin Australia Ltd.,Beach and dune deposits with 0.5 to 1.0% heavy minerals; 0.2-0.3% monazite has been reported in the HM concentrate.,Anstett (1986); Griffiths (1992); Hedrick (1998); Jaireth and others (2014); Overstreet (1967); Wallis and Oakes (1990),1947,,,Past byproduct producer,Past production of byproduct monazite.,,,,2) 1195 measured+indicated+inferred,,,,,2) 10.36,1) 1.5; 2) 0.9,,,,1) 0.0015 ,,,1) Jackson and Christiansen (1993); 2) Jaireth and others (2014),1) Not compliant,,Oceania
1810,6346,Nullagine, , , ,site, ,Australia,Western Australia,-21.8786,120.1041,About 90 km SE of Marble Bar.,paleoplacer, , ,"Au, Ti, Zr, REE", , , , ,Showing, ,"xenotime, monazite","gold, zircon, rutile, cassiterite, magnetite, ilmenite, chromite, tantalite, pyrite, barite",,,,Neoproterozoic(?),,"fluvioglacial sediments, conglomerate",,,,,,Hoatson and others (2011); Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1811,6347,Nyngan, , , ,district or area(?), ,Australia,New South Wales,-31.6333,146.9833, ,supergene,"ultramafic-mafic associated, residual lateritic", ,"Sc, Ni, Co, PGE, Au, REE(?)", , , , ,Occurrence, ,,,,,,,,,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Jaireth and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1812,6348,Oak Dam, , , ,site, ,Australia,South Australia,-30.9825,137.2491, ,"hydrothermal Fe-oxide deposit ± Cu, Au(?)","ironstone, skarn", ,"Cu, Fe, U, REE", , , , ,Showing, ,monazite,"chalcopyrite, hematite, magnetite, uraninite (pitchblende)","anhydrite, apatite, quartz (chalcedony), pyrite, quartz",,,,,"ironstone, skarn",,,,,,South Australia Department of State Development Resources and Energy Group (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1813,6349,Ocean Beach, , , ,site, ,Australia,Tasmania,-42.1376,145.2704,Estimated location near Strahan.,shoreline placer, , ,REE, , , , ,Deposit,small deposit,monazite,,,,,,,beach sand,,,,,5 areas of heavy minerals were identified.,Bacon and others (2008); Bottrill (2001),,Explored during 1970/71 by Electrolytic Zinc Company of Australasia Ltd.,,No production,,,,,1.47,,,,,,9.8,,,,,,1971,Bottrill (2001),Not compliant,Monazite grade not given.,Oceania
1814,6350,Ocean Hill, , ,Eneabba,district or area(?), ,Australia,Western Australia,-29.8109,115.3231, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence(?), ,monazite,"ilmenite, zircon, rutile",,,,,,,,,,,Heavy mineral sands of Eneabba shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,open pit,Not known,HM mine is currently on care and maintenance.,,,,,,,,,,,,,,,,,,,,Oceania
1815,6560,Okarito Beach, , , ,district or area, ,New Zealand,West Coast,-43.1909,170.3734, ,shoreline placer, , ,"Ti, REE", , , , ,Occurrence, ,monazite,"magnetite, ilmenite, garnet, titanite, zircon, apatite","epidote, biotite, pumpellyite, chlorite, quartz, enstatite",,,,,,,,,,,Bradley (1977); GNS Science (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1816,6351,Oldfield Inlet, , , ,district or area, ,Australia,Western Australia,-33.8787,120.7863,Deposits are adjacent to the mouth of the Oldfield River.,shoreline placer, , ,"Ti, Zr, GAR, REE, STA, KYN", , , , ,Occurrence, ,monazite,"zircon, ilmenite, garnet, staurolite, kyanite",,,,,,beach sand,,,,,,Baxter (1977); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1817,6352,Olympic Dam,Roxby Downs, , ,site,Cu mine,Australia,South Australia,-30.4403,136.8894, ,"hydrothermal Fe-oxide deposit ± Cu, Au",IOCG, ,"Cu, Au, Ag, U, Fe, REE", , , , ,Deposit, ,"monazite, bastnäsite, fluocerite, florencite","fluorite, barite, chalcocite, brannerite, chalcopyrite, uraninite, bornite, hematite",quartz,Mesoproterozoic,1575–1590 Ma,,,granite breccia,Olympic Dam Breccia Complex,,,"Minotaur Exploration Ltd., Japan Oil, Gas and Metals National Corp. (JOGMEC)",,Castor (1994); Gieré (1996); Jackson and Christiansen (1993); Kennedy (1988); Watanabe (2010); Weng and others (2015),,,,No production,REO not recovered; potential byproduct.,,,,9576,53,0.55,,,,,,,,,,,Weng and others (2015),Not known,,Oceania
1818,6353,Peculiar Knob, , , ,site,Fe mine,Australia,South Australia,-29.589688,135.382674, ,other igneous deposit,hydrothermal replacement by hematite, ,"Fe, REE", , , , ,Occurrence, ,,hematite,quartz,,,,,"iron formation, paragneiss, gneissic granite, adamellite, granodiorite",Mount Woods Complex,,,,,Geoscience Australia (2014); South Australia Department of State Development Resources and Energy Group (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1819,6354,Peppercorn, , , ,site(?), ,Australia,South Australia,-29.1885,134.8985, ,other igneous deposit, , ,"Th, REE", , , , ,Showing, ,monazite,,,,,,,,,,hydrothermal,,,South Australia Department of State Development Resources and Energy Group (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1820,6355,Phoenix, , , ,district or area(?), ,Australia,New South Wales,-34.4685,143.3073, ,shoreline placer, , ,"Zr, Ti, REE", , , , ,Occurrence, ,monazite,"zircon, ilmenite, rutile, (leucoxene)",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1821,6356,Picton, , ,Capel,district or area, ,Australia,Western Australia,-33.3321,115.7119, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, (leucoxene)",,,,,,,,,,,Heavy mineral sands of Capel shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1822,6562,Pikikiruna Range, , , ,site(?), ,New Zealand,Tasman,-40.9734,172.8824, ,alluvial placer, , ,"Ti, U, Th, REE, Au", , , , ,Showing, ,monazite,uranothorite,,,,,,,,,,,,Christie and others (2014); GNS Science (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1823,6357,Pimpinio, , , ,district or area, ,Australia,Victoria,-36.5583,142.1112, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,"monazite, xenotime","ilmenite, (leucoxene), rutile, zircon",,,,,,sand,,,,,,"Victoria Department of State Development, Business and Innovation (2014)",,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1824,6358,Pinch Swamp Creek, , , ,site(?), ,Australia,Victoria,-37.0964,148.7589, ,paleoplacer, , ,"Ti, REE, GEM", , , , ,Occurrence, ,monazite,"ilmenite, corundum",,,,,,gravel,,,,,,"Victoria Department of State Development, Business and Innovation (2014)",,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1825,6359,Pinga Creek, , , ,district or area,Sn field,Australia,Western Australia,-21.75,119.0001, ,"other igneous deposit, alluvial placer","Sn pegmatite, alluvial placer", ,"Sn, Nb, REE", , , , ,Occurrence, ,"gadolinite, yttrotantalite-(Y), tanteuxenite-(Y)(?), allanite, fergusonite, monazite, samarskite","cassiterite, tantalite-columbite",,Mesoarchean,,,,"gneissic granite, migmatite, monzogranite",,,,,Largely mined in past for tin in pegmatites and associated placers.,Geoscience Australia (2013); Hoatson and others (2011); Jaireth and others (2014),,,,Not known,It is not clear if REE were extracted with the tin.,,,,,,,,,,,,,,,,,,,,Oceania
1826,6360,Pinkenba, , , ,district or area(?), ,Australia,Queensland,-27.433,153.117,Estimated location in river or estuary.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,,quartz,Pliocene–Pleistocene,,,,,,,,Consolidated Rutile Ltd.,,Hedrick and Templeton (1991),,,,Past byproduct producer,,,,,,,,,,,,,,,,,,,,,Oceania
1827,6362,Pirro, , , ,district or area,active HM mine,Australia,Victoria,-35.244,142.5197,In Murray Basin.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, rutile, zircon",,,,,,,,,,Iluka Resources,,Geoscience Australia (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Oceania
1828,6363,Ponton Creek, ,"Cundeelee, Ponton", ,intrusion or complex, ,Australia,Western Australia,-30.4449,123.4532, ,carbonatite, ,veins,"REE, U", , , , ,Occurrence, ,,"apatite, magnetite",calcite,Paleoproterozoic,,Paleoproterozoic,2025 ± 10 Ma,"carbonatite, alkaline ultramafic rock",,"pyroxenite, peridotite, Permian tillite",,,Drilling showed 28 m @ 16.5% REO and 16 m at 14.18% REO in carbonatite stock under 500 m of Permian tillite. There is no paleo-regolith at this site; REE are hosted in unweathered primary carbonatite body covered by 500 m of Permian tillite.,Hoatson and others (2011); Jaireth and others (2014); Lewis (1990); Western Australia Department of Mineral and Petroleum Resources (2012),1986,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1829,6364,Poona, , , ,district or area, ,Australia,South Australia,-34.04,137.6165, ,other igneous deposit,REE in porphyry, ,"Cu, Au, REE", , , , ,Occurrence, ,,"chalcopyrite, bornite, chalcocite, covellite, gold, digenite","fluorite, hematite, pyrite, chlorite, epidote, feldspar, kaolinite, quartz, sericite, tourmaline",,,,,rhyolite porphyry,Moona porphyry,,,,Porphyry has been extensively recrystallized and has an interval of >1% La+Ce.,South Australia Department of State Development Resources and Energy Group (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1830,6367,Port Gregory,"Lynton South, Lynton, Hose", , ,site,HM mine,Australia,Western Australia,-28.1782,114.2814, ,shoreline placer, , ,"GAR, Ti, REE", , , , ,Deposit, ,monazite,"garnet, ilmenite",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Jaireth and others (2014),,,,Not known,Uncertain if monazite produced.,,,,,,,,,,,,,,,,,,,,Oceania
1831,6563,Port Pegasus, , , ,district or area, ,New Zealand,Southland,-47.139,167.733,Estimated location at south end of Stewart Island.,alluvial placer,eluvial and alluvial placers, ,"Sn, Au, REE", , , , ,Showing, ,monazite,"cassiterite, gold",,,,,,,,,,,,Overstreet (1967),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1832,6368,Port Pirie, , , ,site,historic REE mine,Australia,South Australia,-33.1722,138.006,Geoscience Australia (2013) location slightly revised.,unclassified, , ,REE, , , , ,Occurrence, ,monazite,,,,,,,,,,,,,Geoscience Australia (2012); Geoscience Australia (2013); Weng and others (2015),,,,Past byproduct producer,,1969–1972,,,,,,,,,,,,,,,,,,,Oceania
1834,6370,Prowse,Capel-Prowse, ,Capel,site(?), ,Australia,Western Australia,-33.56216,115.533699, ,shoreline placer, , ,REE, , , , ,Deposit(?), ,monazite,,,,,,,,,,,,,ESCAP and ABMRGG (1988),,,,Past byproduct producer(?),,,,,,,,,,,,,,,,,,,,,Oceania
1835,6371,Puwanapi, , ,Capel,site(?), ,Australia,Northern Territory,-11.7203,130.0657, ,shoreline placer, , ,"REE, Zr, Ti", , , , ,Occurrence, ,monazite,"zircon, rutile, (leucoxene), ilmenite",,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1836,6373,Quantum, , ,Pine Creek project,site, ,Australia,Northern Territory,-13.753,131.268, ,uranium deposit,unconformity-related U; hydrothermal, ,"U, REE", , , , ,Occurrence, ,"bastnäsite, allanite, synchysite",,chlorite,,,,,shale,,,hydrothermal,Spectrum Rare Earths Ltd.,Hydrothermal fluorite veins and pegmatites exist in this area; bastnäsite is probably after allanite.,Hoatson and others (2011); Northern Territory Government (2014);,,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1837,6374,Radford Rose, , , ,site,outcrop,Australia,Western Australia,-23.9621,116.1564, ,other igneous deposit(?),carbonatite and alkaline igneous intrusions related?, ,REE, , , , ,Showing, ,,,,,,,,,,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1838,6375,Radium Hill, , , ,site,U mine tailings,Australia,South Australia,-32.346,140.638, ,tailings; other igneous deposit; uranium deposit,"igneous-related, tailings", ,"U, Ra, REE, Sc", , , , ,Occurrence, ,"davidite, xenotime","uraninite, carnotite, rutile, zircon, ilmenite, magnetite, pyrite, chalcopyrite","biotite, hematite, ilmenite, quartz, sericite, titanite",,,,,"uranium tailings, paragneiss, schist, gneiss, quartzite",,,,,Tails from Radium Hill uranium mining operations which exploited veins in Precambrian gneiss and schist cut by intrusions.,Dreissen (1990); Hoatson and others (2011); Jackson and Christiansen (1993); Möller (1989a); South Australia Department of State Development Resources and Energy Group (2014); Weng and others (2015),1906,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1839,6376,Railway, , ,Dubbo,site(?), ,Australia,New South Wales,-32.427,148.6027,4 km NW of Toongi orebody.,alkaline igneous, , ,"Zr, Nb, REE, Ta, Hf, U",Y present, , , ,Occurrence, ,calcian bastnäsite,"natroniobite, zircon",,,,Jurassic,,alkaline trachyte,,,,,Grades are reported to be half of those at Toongi; TREO grade is reported to average 0.343%.,Alkane Resources Ltd. (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1840,6377,Rainbow Beach, , , ,district or area(?),historic mine,Australia,Queensland,-25.9,148.6027,Estimated location.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,"zircon, rutile, apatite, tourmaline, garnet","quartz, (hornblende), epidote, pyroxene, andalusite",Pliocene–Pleistocene,,,,,,,,Currumbin Minerals Pty. Ltd. (1989),,Colwell (1982); Hedrick and Templeton (1991),,,,Past byproduct producer,,,,,,,,,,,,,,,,,,,,,Oceania
1841,6378,Red Dragon, , , ,site,drill hole,Australia,Western Australia,-29.5621,123.6224, ,carbonatite, , ,REE, , , , ,Showing, ,,,,,,,,carbonatite(?),,,,,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1842,6379,Red Gully, , , ,site(?), ,Australia,Western Australia,-31.0413,115.7348, ,placer of unknown origin, , ,"Zr, Ti, REE, GAR", , , , ,Occurrence, ,monazite,"zircon, ilmenite, rutile, garnet, (leucoxene)",,,,,,"sand, clayey sand",Yoganup Formation,,,Image Resources,Deposit consists of 2 strands.,Geoscience Australia (2013); Image Resources (2015b),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1843,6564,Red Jacks Dredge, , , ,site,historic mine,New Zealand,West Coast,-42.4133,171.4508, ,alluvial placer, , ,"Sn, Au, REE", , , , ,Deposit, ,monazite,native gold,,,,,,,,,,,,GNS Science (2013); Overstreet (1967),,,dredge,No production(?),,,,,,,,,,,,,,,,,,,,,Oceania
