OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
1856,6566,Ruatapu, , , ,site, ,New Zealand,West Coast,-42.8244,170.8705, ,shoreline placer(?), , ,"REE, Zr, Ti", , , , ,Deposit(?), ,monazite,"zircon, magnetite, ilmenite, gold, garnet, titanite, rutile, (leucoxene)","epidote, chlorite, biotite, quartz, pumpellyite, muscovite, tourmaline, (hornblende)",,,,,,,,,,,Bradley (1977); GNS Science (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1857,6393,Rutland Plains, , , ,site(?), ,Australia,Queensland,-15.6627,141.9062, ,unclassified, , ,"Ti, Zr, REE", , , , ,Showing, ,monazite,"ilmenite, rutile, zircon",,,,,,,,,,,,Queensland Department of Natural Resources and Mines (2014a),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1858,6394,Sabretooth, , ,Browns Range,site, ,Australia,Western Australia,-18.9206,128.9513, ,other igneous deposit,breccia, ,REE, , , , ,Showing, ,xenotime,,,,,,,,,,,Northern Minerals Ltd.,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1859,6567,Saltwater Lagoon, , , ,district or area, ,New Zealand,West Coast,-43.087,170.3636, ,shoreline placer, , ,"Ti, REE, Zr, Au", , , , ,Occurrence, ,monazite,"ilmenite, zircon, native gold",,,,,,,,,,,,Brathwaite and Christie (2006); ESCAP and ABMRGG (1988); GNS Science (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1860,6395,Sandalwood,Sandalwood Central,"Sandalwood North, Sandalwood South",Bunbury area,district or area,historic HM mine,Australia,Western Australia,-33.196411,115.860001, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,"ilmenite, zircon, (leucoxene)",,Pleistocene–Recent,,,,,,,,Cable Sands Pty. Ltd.,,Hedrick (1999); Western Australia Department of Mineral and Petroleum Resources (2012),,,,Past byproduct producer,Mine is closed.,,,HM production started in 1998; mine is now closed.,,,,,,,,,,,,,,,,,Oceania
1861,6396,Sandy and Reid Creeks, , , ,district or area(?), ,Australia,Queensland,-16.2248,143.9232, ,alluvial placer(?), , ,"REE, Ti, Zr", , , , ,Showing, ,monazite,"ilmenite, rutile, zircon",,,,,,,,,,,,Queensland Department of Natural Resources and Mines (2014a),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1862,6398,Scott Coastal Plain/Astro, , , ,site,HM mine,Australia,Western Australia,-34.358027,115.629683, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit,small deposit,"monazite, xenotime","ilmenite, zircon, (leucoxene), rutile, garnet, kyanite",quartz,Pleistocene–Recent,,Pleistocene–Recent,,beach sediment,,,,Cable Sands Pty. Ltd. (1988),Heavy mineral sands of Donnelly shoreline. Cable Sands Ltd.'s largest operation.,Hedrick (1995); Hedrick (1998); Harben and Kužvart (1996); Griffiths (1992); Jackson and Christiansen (1993); Roskill Information Services (1988); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,1.72 probable,,,,,0.7,,2005,Western Australia Department of Mineral and Petroleum Resources (2012),JORC compliant,,Oceania
1863,6399,Scott River, , , ,district or area, ,Australia,Western Australia,-34.2601,115.3332, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile, (leucoxene)",,,,,,beach sand,,,,,Deposit consists of two orebodies composed of heavy mineral sands of the Warren shoreline.,Geoscience Australia (2013); Hoatson and others (2011); Western Australia Department of Mineral and Petroleum Resources (2012),1988,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1864,6400,Shamrock, , , ,district or area(?), ,Australia,New South Wales,-33.51,142.52, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite, (leucoxene)",,,,,,beach sand,,,,,Deposit includes alluvial and residual material.,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1865,6401,Shaw River, , , ,district or area,Sn field,Australia,Western Australia,-21.499,119.421,Estimated location.,placer of unknown origin, , ,"Sn, Ta, Nb, REE", , , , ,Occurrence, ,"yttrotantalite-(Y), tanteuxenite-(Y), monazite, xenotime, gadolinite, euxenite, fergusonite, cheralite, samarskite","cassiterite, columbite-tantalite, zircon, thorite",microlite,,,,,,,,,,,Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1866,6569,Shearer Swamp, , , ,site(?), ,New Zealand,West Coast,-42.9219,170.7434, ,placer of unknown origin, , ,"REE, Zr, Ti", , , , ,Occurrence, ,monazite,zircon,,,,,,,,,,,,GNS Science (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1867,6402,Sherrin Creek, , , ,district or area, ,Australia,Queensland,-20.3809,138.901,In Georgina Basin.,phosphorite, , ,"P, REE", , , , ,Showing, ,,,,Middle Cambrian,,Middle Cambrian,,phosphatic siltstone,Battle Creek Formation,,,,,Jaireth and others (2014); von Gnielinski (2015),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1868,6403,Shoalwater Bay Training Area, , , ,district or area, ,Australia,Queensland,-22.6701,150.8024, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite",quartz,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
